population,edge_ids,@source_node,@target_node,efferent_section_id,efferent_surface_z,afferent_center_y,efferent_center_z,efferent_segment_id,afferent_surface_z,afferent_segment_id,afferent_center_z,efferent_surface_x,efferent_section_type,efferent_segment_offset,afferent_center_x,afferent_section_type,afferent_section_id,afferent_section_pos,afferent_surface_y,afferent_segment_offset,efferent_surface_y,afferent_surface_x,efferent_center_y,efferent_section_pos,efferent_center_x
V1_neurons__V1_neurons__chemical_synapse,35679186,19473,16297,192,8460.245,902.66943,8460.317,46,8458.956,26,8458.879,9137.016,2,0.950979,9136.844,4,235,0.41533113,902.73645,0.04164671,903.9061,9136.852,903.9775,0.75550455,9137.023
V1_neurons__V1_neurons__chemical_synapse,35679187,19473,16297,193,8476.249,873.395,8476.264,16,8475.906,23,8475.888,9163.85,2,0.49802655,9162.533,4,212,0.1719553,873.49536,0.17380026,875.4674,9162.599,875.5509,0.9486435,9163.907
V1_neurons__V1_neurons__chemical_synapse,35679188,19473,16297,194,8476.134,872.9907,8476.133,0,8476.168,23,8476.17,9164.622,2,0.03956231,9163.07,4,212,0.1777149,873.0871,0.90228224,874.9589,9163.145,875.0416,0.0021318272,9164.683
V1_neurons__V1_neurons__chemical_synapse,35679189,19473,16297,195,8475.602,873.1118,8475.593,0,8476.0625,23,8476.085,9164.547,2,0.5427637,9162.91,4,212,0.17598994,873.20105,0.6841074,874.959,9162.989,875.03516,0.044423595,9164.614
V1_neurons__V1_neurons__chemical_synapse,35679190,19473,16297,195,8465.645,874.2419,8465.675,12,8464.21,1,8463.783,9159.808,2,2.0538619,9159.373,4,214,0.066597484,874.6305,0.778182,875.8049,9159.464,875.8993,0.9696482,9159.783
V1_neurons__V1_neurons__chemical_synapse,35679191,19473,16297,197,8405.044,959.5194,8405.135,13,8403.275,26,8403.087,9123.851,2,0.39562628,9123.57,3,137,0.5049693,959.6145,0.14186609,960.41754,9123.595,960.4638,0.13397197,9123.851
V1_neurons__V1_neurons__chemical_synapse,35679192,19473,16297,197,8413.86,948.7577,8413.923,32,8413.167,6,8413.092,9140.698,2,1.3834512,9142.026,3,145,0.102541596,948.73004,0.24079698,948.5196,9141.901,948.48035,0.3857612,9140.628
V1_neurons__V1_neurons__chemical_synapse,35679193,19473,16297,197,8414.924,944.52423,8415.016,40,8413.373,2,8413.25,9144.08,2,0.15897326,9142.962,3,144,0.03728751,944.50275,0.4980152,944.1525,9143.046,944.1823,0.448187,9144.114
V1_neurons__V1_neurons__chemical_synapse,35679194,19473,16297,197,8437.229,939.32587,8437.206,59,8437.183,1,8437.281,9152.784,2,2.577195,9152.799,3,189,0.21055663,939.39136,0.4868357,939.3258,9152.686,939.3985,0.79433435,9152.716
V1_neurons__V1_neurons__chemical_synapse,35679195,19473,16297,215,8408.837,951.84845,8408.868,17,8408.309,15,8408.242,9126.316,2,0.3776996,9128.006,3,137,0.30314466,951.7432,1.0974188,950.8651,9127.832,950.83734,0.32976815,9126.2295
V1_neurons__V1_neurons__chemical_synapse,35680750,45243,16297,6,8440.38,913.7479,8440.445,21,8439.715,1,8439.665,9146.322,2,0.28125238,9146.685,4,234,0.037116393,913.83575,1.1520895,914.92993,9146.658,915.00806,0.82951427,9146.319
V1_neurons__V1_neurons__chemical_synapse,35680751,45243,16297,7,8441.795,912.59644,8441.834,3,8441.578,3,8441.548,9151.193,2,0.98473454,9150.79,4,201,0.057917025,912.6798,1.2349974,913.1382,9150.84,913.24524,0.050167903,9151.226
V1_neurons__V1_neurons__chemical_synapse,35680752,45243,16297,8,8442.216,913.67084,8442.249,2,8441.309,2,8441.268,9149.216,2,0.32322976,9150.247,4,198,0.20140561,913.59216,0.7082627,911.80194,9150.199,911.7865,0.048400283,9149.12
